id,recipe_id,total_boil_time,evap_rate,shrinkage,mash_tun_dead_space,lauter_tun_dead_space,kettle_dead_space,fermentation_tank_loss,grain_abs_factor,user_id
173,250,60,15,4,0,0.5,0.5,0.25,0.133,1
174,251,60,15,4,0,0.5,0.5,0.25,0.133,1
180,257,60,15,4,0,0.5,0.5,0.25,0.133,1
188,265,60,15,4,0,0.5,0.5,0.25,0.133,19
205,282,60,15,4,0,0.5,0.5,0.25,0.133,1
238,315,60,15,4,0,0.5,0.5,0.25,0.133,1
244,321,60,11.2,4,0,0,0,0.15,0.133,19
170,247,60,15,4,0,0.5,0.5,0.25,0.133,1
171,248,60,15,4,0,0.5,0.5,0.25,0.133,1
172,249,60,15,4,0,0.5,0.5,0.25,0.133,1
