id,recipe_id,init_Ca,init_Mg,init_Na,init_Cl,init_SO4,init_HCO3_CaCO3,actual_ph,effective_alkalinity,residual_alkalinity,ph_down_gypsum_CaSO4,ph_down_cal_chl_CaCl2,ph_down_epsom_salt_MgSO4,ph_up_slaked_lime_CaOH2,ph_up_baking_soda_NaHCO3,ph_up_chalk_CaCO3,user_id
306,393,4.0,1.0,32.0,27.0,6.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
256,340,4.0,1.0,32.0,27.0,6.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
260,344,4.0,1.0,32.0,27.0,6.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22
262,346,4.0,1.0,32.0,27.0,6.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22
174,250,4.0,1.0,32.0,27.0,6.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
175,251,4.0,1.0,32.0,27.0,6.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
181,257,4.0,1.0,32.0,27.0,6.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
189,265,4.0,1.0,32.0,27.0,6.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19
303,390,4.0,1.0,32.0,27.0,6.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19
245,321,4.0,1.0,32.0,27.0,6.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19
171,247,4.0,1.0,32.0,27.0,6.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
172,248,4.0,1.0,32.0,27.0,6.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
173,249,4.0,1.0,32.0,27.0,6.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
266,350,4.0,1.0,32.0,27.0,6.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19
