id,recipe_id,days1,temp1,days2,temp2,days3,temp3,days4,temp4,days5,temp5,user_id
173,250,7,70,7,70,7,70,7,70,7,70,1
174,251,7,70,7,70,7,70,7,70,7,70,1
180,257,7,70,7,70,7,70,7,70,7,70,1
188,265,7,70,7,70,7,70,7,70,7,70,19
301,390,10,70,0,0,0,0,0,0,0,0,19
244,321,7,70,7,70,0,0,0,0,0,0,19
170,247,7,70,7,70,7,70,7,70,7,70,1
171,248,7,70,7,70,7,70,7,70,7,70,1
172,249,7,70,7,70,7,70,7,70,7,70,1
304,393,7,70,7,70,7,70,7,70,7,70,1
255,340,7,70,7,70,7,70,7,70,7,70,1
259,344,1,64,6,68,28,46,0,0,0,0,22
261,346,7,70,7,70,7,70,7,70,7,70,22
265,350,7,70,7,70,7,70,7,70,7,70,19
